"Provplats ID (VISS)","Provplats ID (Stationsregistret)","Vattenförekomst ID (MS_CD)","Programområde","Delprogram"
"SE758793-162214",,"WA37110481","Sötvatten","Vattendrag trendstationer"
"SE753460-165285",,"WA34033118","Sötvatten","Vattendrag trendstationer"
"SE739283-163835",,"WA60052782","Sötvatten","Vattendrag trendstationer"
"SE632033-152167",,"WA81275650","Sötvatten","Flodmynningar"
"SE726942-176351",,"WA17957286","Sötvatten","Flodmynningar"
"SE703411-148805",,"WA56088945","Sötvatten","Vattendrag trendstationer"
"SE728070-165120",,"WA66448021","Sötvatten","Vattendrag trendstationer"
"SE718265-171875",,"WA95930698","Sötvatten","Vattendrag trendstationer"
"SE666881-151821",,"WA11915510","Sötvatten","Vattendrag trendstationer"
"SE626878-134788",,"WA83666955","Sötvatten","Vattendrag trendstationer"
"SE673809-153401",,"WA90144389","Sötvatten","Vattendrag trendstationer"
"SE639339-154122",,"WA62188433","Sötvatten","Flodmynningar"
"SE650799-143323",,"WA11935716","Sötvatten","Vattendrag trendstationer"
"SE641475-147365",,"WA86777326","Sötvatten","Vattendrag trendstationer"
"SE647582-127369",,"WA83397198","Sötvatten","Flodmynningar"
"SE671742-158974",,"WA68838669","Sötvatten","Flodmynningar"
"SE632137-147160",,"WA45416248","Sötvatten","Vattendrag trendstationer"
"SE683661-156793",,"WA89618757","Sötvatten","Flodmynningar"
"SE641827-139990",,"WA79424619","Sötvatten","Vattendrag trendstationer"
"SE633520-153920",,"WA19847939","Sötvatten","Flodmynningar"
"SE653621-125394",,"WA99571073","Sötvatten","Flodmynningar"
"SE720990-147270",,"WA37926239","Sötvatten","Vattendrag trendstationer"
"SE669500-163246",,"WA92637595","Sötvatten","Flodmynningar"
"SE631625-133602",,"WA61549092","Sötvatten","Vattendrag trendstationer"
"SE672924-157224",,"WA13726432","Sötvatten","Flodmynningar"
"SE703055-166572",,"WA82283677","Sötvatten","Flodmynningar"
"SE638491-166721",,"WA95602537","Sötvatten","Flodmynningar"
"SE646771-129330",,"WA16165459","Sötvatten","Flodmynningar"
"SE641071-127372",,"WA33908756","Sötvatten","Flodmynningar"
"SE640085-138148",,"WA12737498","Sötvatten","Vattendrag trendstationer"
"SE620277-140091",,"WA15465984","Sötvatten","Flodmynningar"
"SE642969-145547",,"WA88641020","Sötvatten","Vattendrag trendstationer"
"SE710354-155465",,"WA24742612","Sötvatten","Vattendrag trendstationer"
"SE708380-145455",,"WA75124922","Sötvatten","Vattendrag trendstationer"
"SE693587-158205",,"WA76246554","Sötvatten","Flodmynningar"
"SE732407-183604",,"WA22703508","Sötvatten","Flodmynningar"
"SE749870-169055",,"WA30011092","Sötvatten","Vattendrag trendstationer"
"SE753778-181417",,"WA72266995","Sötvatten","Vattendrag trendstationer"
"SE666294-137309",,"WA89864864","Sötvatten","Vattendrag trendstationer"
"SE617263-135608",,"WA14011444","Sötvatten","Vattendrag trendstationer"
"SE641953-137406",,"WA39944872","Sötvatten","Vattendrag trendstationer"
"SE735526-183905",,"WA97950526","Sötvatten","Vattendrag trendstationer"
"SE703626-153615",,"WA38909960","Sötvatten","Vattendrag trendstationer"
"SE708485-154920",,"WA98025719","Sötvatten","Vattendrag trendstationer"
"SE618678-132881",,"WA93784411","Sötvatten","Flodmynningar"
"SE626875-133051",,"WA18208119","Sötvatten","Flodmynningar"
"SE730224-165025",,"WA60567507","Sötvatten","Vattendrag trendstationer"
"SE699780-139553",,"WA55565146","Sötvatten","Vattendrag trendstationer"
"SE675032-135400",,"WA43483826","Sötvatten","Vattendrag trendstationer"
"SE707822-133430",,"WA99507792","Sötvatten","Vattendrag trendstationer"
"SE639719-133565",,"WA35495796","Sötvatten","Vattendrag trendstationer"
"SE691743-155984",,"WA99459812","Sötvatten","Flodmynningar"
"SE627831-152255",,"WA98903891","Sötvatten","Flodmynningar"
"SE694231-133350",,"WA99367298","Sötvatten","Vattendrag trendstationer"
"SE678924-156862",,"WA76780102","Sötvatten","Flodmynningar"
"SE650920-143244",,,"Sötvatten","Vattendrag trendstationer"
"SE660713-165636",,"WA79044816","Sötvatten","Vattendrag trendstationer"
"SE729186-178575",,"WA33065308","Sötvatten","Flodmynningar"
"SE623006-149119",,"WA79289586","Sötvatten","Flodmynningar"
"SE705438-167938",,"WA38012409","Sötvatten","Flodmynningar"
"SE664335-136275",,"WA77117417","Sötvatten","Vattendrag trendstationer"
"SE723232-161455",,"WA23593659","Sötvatten","Vattendrag trendstationer"
"SE718001-147980",,"WA78387734","Sötvatten","Vattendrag trendstationer"
"SE649673-151838",,"WA88923173","Sötvatten","Flodmynningar"
"SE741419-169012",,"WA60139716","Sötvatten","Vattendrag trendstationer"
"SE622950-143450",,"WA68541265","Sötvatten","Flodmynningar"
"SE628877-132040",,"WA19239539","Sötvatten","Flodmynningar"
"SE633316-146198",,"WA36456490","Sötvatten","Vattendrag trendstationer"
"SE652370-156442",,"WA54398072","Sötvatten","Flodmynningar"
"SE678609-137505",,,"Sötvatten","Vattendrag trendstationer"
"SE721000-174904",,"WA96430884","Sötvatten","Vattendrag trendstationer"
"SE633070-131710",,,"Sötvatten","Vattendrag trendstationer"
"SE726410-175525",,"WA11954777","Sötvatten","Flodmynningar"
"SE713121-174351",,"WA37813560","Sötvatten","Flodmynningar"
"SE713121-174351",,"WA37813560","Sötvatten","Vattendrag trendstationer"
"SE711900-175034",,"WA51114691","Sötvatten","Flodmynningar"
"SE654845-126685",,"WA87368980","Sötvatten","Vattendrag trendstationer"
"SE733833-177925",,"WA30315661","Sötvatten","Flodmynningar"
"SE621205-131122",,"WA86069323","Sötvatten","Flodmynningar"
"SE622467-133458",,"WA60391049","Sötvatten","Flodmynningar"
"SE639020-148650",,"WA45704566","Sötvatten","Vattendrag trendstationer"
"SE724097-151160",,"WA12679259","Sötvatten","Vattendrag trendstationer"
"SE728796-160764",,"WA32567448","Sötvatten","Vattendrag trendstationer"
"SE719095-173622",,"WA99394482","Sötvatten","Flodmynningar"
"SE614886-136002",,"WA65070323","Sötvatten","Flodmynningar"
"SE621495-134055",,"WA32370039","Sötvatten","Vattendrag trendstationer"
"SE626827-132577",,"WA46036436","Sötvatten","Flodmynningar"
"SE658065-162841",,"WA53873576","Sötvatten","Flodmynningar"
"SE690530-152405",,"WA15165797","Sötvatten","Vattendrag trendstationer"
"SE713297-169256",,"WA27120760","Sötvatten","Vattendrag trendstationer"
"SE643455-140114",,"WA44293011","Sötvatten","Vattendrag trendstationer"
"SE665649-161397",,"WA73538296","Sötvatten","Vattendrag trendstationer"
"SE617027-137477",,"WA78517976","Sötvatten","Vattendrag trendstationer"
"SE733351-187900",,"WA29376215","Sötvatten","Flodmynningar"
"SE659670-142700",,"WA27353528","Sötvatten","Vattendrag trendstationer"
"SE733222-181059",,"WA91101565","Sötvatten","Flodmynningar"
"SE708979-170865",,"WA13234168","Sötvatten","Flodmynningar"
"SE670757-145007",,"WA83495266","Sötvatten","Vattendrag trendstationer"
"SE726075-144043",,"WA32889936","Sötvatten","Vattendrag trendstationer"
"SE617811-139836",,"WA82206081","Sötvatten","Vattendrag trendstationer"
"SE737675-158280",,"WA56061050","Sötvatten","Vattendrag trendstationer"
"SE716805-166700",,"WA54087504","Sötvatten","Vattendrag trendstationer"
"SE635805-154005",,"WA35243626","Sötvatten","Vattendrag trendstationer"
"SE635136-128895",,"WA84417087","Sötvatten","Flodmynningar"
"SE692688-153260",,"WA30601332","Sötvatten","Vattendrag trendstationer"
"SE651360-153835",,"WA39935042","Sötvatten","Vattendrag trendstationer"
"SE637535-164346",,"WA23701054","Sötvatten","Vattendrag trendstationer"
"SE703847-162474",,"WA43699279","Sötvatten","Vattendrag trendstationer"
"SE631338-129833",,"WA28623026","Sötvatten","Flodmynningar"
"SE651375-154304",,"WA51800039","Sötvatten","Vattendrag trendstationer"
"SE700773-157350",,"WA60702203","Sötvatten","Flodmynningar"
"SE651080-124100",,"WA36556832","Sötvatten","Vattendrag trendstationer"
"SE707160-168739",,"WA77161895","Sötvatten","Flodmynningar"
"SE648930-125964",,"WA47806230","Sötvatten","Flodmynningar"
"SE740810-178405",,,"Sötvatten","Vattendrag trendstationer"
"SE758208-161749",,"WA29045099","Sötvatten","Sjöar trendstationer"
"SE642489-151724",,"WA34425522","Sötvatten","Sjöar trendstationer"
"SE647050-130644",,"WA66621261","Sötvatten","Sjöar trendstationer"
"SE733110-182955",,"WA66160412","Sötvatten","Sjöar trendstationer"
"SE713404-172465",,"WA28784510","Sötvatten","Sjöar trendstationer"
"SE652707-159032",,"WA31838586","Sötvatten","Sjöar trendstationer"
"SE659503-154190",,"WA15921303","Sötvatten","Stora sjöarna"
"SE627443-149526",,"WA13784515","Sötvatten","Sjöar trendstationer"
"SE728095-175926",,"WA90190526","Sötvatten","Sjöar trendstationer"
"SE658086-130264",,"WA10190925","Sötvatten","Sjöar trendstationer"
"SE623624-141149",,"WA93163816","Sötvatten","Sjöar trendstationer"
"SE642555-168553",,"WA14564967","Sötvatten","Sjöar trendstationer"
"SE742442-153530",,"WA96539378","Sötvatten","Sjöar trendstationer"
"SE664197-149337",,"WA79921026","Sötvatten","Sjöar trendstationer"
"SE651826-136762",,"WA77080578","Sötvatten","Stora sjöarna"
"SE708512-152086",,"WA39243328","Sötvatten","Sjöar trendstationer"
"SE656263-156963",,"WA64588793","Sötvatten","Sjöar trendstationer"
"SE713131-144608",,"WA64322958","Sötvatten","Sjöar trendstationer"
"SE663365-161779",,"WA97078589","Sötvatten","Sjöar trendstationer"
"SE642140-140640",,"WA11665077","Sötvatten","Stora sjöarna"
"SE663907-156927",,"WA38386938","Sötvatten","Sjöar trendstationer"
"SE662709-160136",,"WA73183242","Sötvatten","Stora sjöarna"
"SE651558-143620",,"WA58439062","Sötvatten","Sjöar trendstationer"
"SE633025-142267",,"WA60899891","Sötvatten","Sjöar trendstationer"
"SE638725-146677",,"WA41982859","Sötvatten","Sjöar trendstationer"
"SE704082-148125",,"WA80286207","Sötvatten","Sjöar trendstationer"
"SE660749-161885",,"WA17184339","Sötvatten","Sjöar trendstationer"
"SE659180-152170",,"WA54241959","Sötvatten","Stora sjöarna"
"SE672729-138082",,"WA67930382","Sötvatten","Sjöar trendstationer"
"SE642122-148744",,"WA33559863","Sötvatten","Sjöar trendstationer"
"SE677506-156174",,"WA20127072","Sötvatten","Sjöar trendstationer"
"SE659755-155697",,"WA44237966","Sötvatten","Stora sjöarna"
"SE646293-126302",,"WA96345108","Sötvatten","Sjöar trendstationer"
"SE651578-146163",,"WA87125050","Sötvatten","Sjöar trendstationer"
"SE698735-139620",,"WA48463242","Sötvatten","Sjöar trendstationer"
"SE659036-160984",,"WA11895268","Sötvatten","Stora sjöarna"
"SE635878-137392",,"WA64825705","Sötvatten","Sjöar trendstationer"
"SE632231-136476",,"WA20819678","Sötvatten","Sjöar trendstationer"
"SE615365-134524",,"WA56806681","Sötvatten","Sjöar trendstationer"
"SE630605-144655",,"WA52131288","Sötvatten","Sjöar trendstationer"
"SE632515-146675",,"WA78510341","Sötvatten","Sjöar trendstationer"
"SE642008-168013",,"WA25839981","Sötvatten","Sjöar trendstationer"
"SE650061-142276",,"WA96665485","Sötvatten","Sjöar trendstationer"
"SE667151-149602",,"WA23078743","Sötvatten","Sjöar trendstationer"
"SE704955-159090",,"WA38350845","Sötvatten","Sjöar trendstationer"
"SE639047-149701",,"WA75730914","Sötvatten","Sjöar trendstationer"
"SE648694-143413",,"WA11665077","Sötvatten","Stora sjöarna"
"SE744629-167999",,"WA55325208","Sötvatten","Sjöar trendstationer"
"SE615375-137087",,"WA92239891","Sötvatten","Sjöar trendstationer"
"SE617797-135339",,"WA94704410","Sötvatten","Sjöar trendstationer"
"SE758677-161050",,"WA49065685","Sötvatten","Sjöar trendstationer"
"SE638665-129243",,"WA89539111","Sötvatten","Sjöar trendstationer"
"SE655380-155738",,"WA21110270","Sötvatten","Sjöar trendstationer"
"SE660804-142742",,"WA91198389","Sötvatten","Sjöar trendstationer"
"SE736804-160569",,"WA66869503","Sötvatten","Sjöar trendstationer"
"SE673534-153381",,"WA42150382","Sötvatten","Sjöar trendstationer"
"SE652877-132735",,"WA49493602","Sötvatten","Stora sjöarna"
"SE665654-149206",,"WA42018902","Sötvatten","Sjöar trendstationer"
"SE656206-159170",,"WA84246238","Sötvatten","Sjöar trendstationer"
"SE741340-153576",,"WA64432104","Sötvatten","Sjöar trendstationer"
"SE730091-165102",,"WA24034604","Sötvatten","Sjöar trendstationer"
"SE742829-183168",,"WA21335710","Sötvatten","Sjöar trendstationer"
"SE659072-159203",,"WA89970645","Sötvatten","Stora sjöarna"
"SE629570-135470",,"WA87259643","Sötvatten","Sjöar trendstationer"
"SE708619-162132",,"WA79262932","Sötvatten","Sjöar trendstationer"
"SE652902-125783",,"WA20544146","Sötvatten","Sjöar trendstationer"
"SE652177-159038",,"WA44530315","Sötvatten","Sjöar trendstationer"
"SE657562-159772",,"WA89970645","Sötvatten","Stora sjöarna"
"SE686849-145214",,"WA48440228","Sötvatten","Sjöar trendstationer"
"SE709218-169710",,"WA64907980","Sötvatten","Sjöar trendstationer"
"SE665175-157559",,"WA74960253","Sötvatten","Sjöar trendstationer"
"SE660542-161322",,"WA55862375","Sötvatten","Stora sjöarna"
"SE651573-152481",,"WA99393201","Sötvatten","Sjöar trendstationer"
"SE640609-148673",,"WA91168817","Sötvatten","Sjöar trendstationer"
"SE633344-130068",,"WA12885229","Sötvatten","Sjöar trendstationer"
"SE672467-148031",,"WA42559716","Sötvatten","Sjöar trendstationer"
"SE644463-139986",,"WA22305783","Sötvatten","Sjöar trendstationer"
"SE683673-154083",,"WA70448628","Sötvatten","Sjöar trendstationer"
"SE716717-158596",,"WA36818659","Sötvatten","Sjöar trendstationer"
"SE695220-143383",,"WA51284243","Sötvatten","Sjöar trendstationer"
"SE706083-132287",,"WA25599103","Sötvatten","Sjöar trendstationer"
"SE731799-151196",,"WA41975577","Sötvatten","Sjöar trendstationer"
"SE655587-158869",,"WA98720344","Sötvatten","Sjöar trendstationer"
"SE633738-142203",,"WA54145176","Sötvatten","Sjöar trendstationer"
"SE628606-133205",,"WA43585030","Sötvatten","Sjöar trendstationer"
"SE655209-126937",,"WA58534225","Sötvatten","Sjöar trendstationer"
"SE631360-146750",,"WA93641753","Sötvatten","Sjöar trendstationer"
"SE728271-157578",,"WA38760283","Sötvatten","Sjöar trendstationer"
"SE630558-134327",,,"Sötvatten","Sjöar trendstationer"
"SE651609-140839",,"WA99815341","Sötvatten","Sjöar trendstationer"
"SE706672-167201",,"WA99627860","Sötvatten","Sjöar trendstationer"
"SE622803-144609",,"WA43427014","Sötvatten","Sjöar trendstationer"
"SE660743-157006",,"WA91646709","Sötvatten","Stora sjöarna"
"SE624421-147234",,"WA21863308","Sötvatten","Sjöar trendstationer"
"SE629026-147562",,"WA37237278","Sötvatten","Sjöar trendstationer"
"SE698860-135948",,,"Sötvatten","Sjöar trendstationer"
"SE690345-149315",,"WA90290627","Sötvatten","Sjöar trendstationer"
"SE711365-171748",,"WA88766629","Sötvatten","Sjöar trendstationer"
"SE637121-151366",,"WA18431640","Sötvatten","Sjöar trendstationer"
"SE660688-164478",,"WA18225072","Sötvatten","Sjöar trendstationer"
"SE655455-136581",,"WA77080578","Sötvatten","Stora sjöarna"
"SE637120-145525",,"WA66779230","Sötvatten","Sjöar trendstationer"
"SE658368-157107",,"WA72858454","Sötvatten","Stora sjöarna"
"SE661521-130182",,"WA22379738","Sötvatten","Sjöar trendstationer"
"SE691365-156127",,"WA17667097","Sötvatten","Sjöar trendstationer"
"SE698918-158665",,"WA57901934","Sötvatten","Sjöar trendstationer"
"SE751252-175433",,"WA51513798","Sötvatten","Sjöar trendstationer"
"SE718150-168580",,"WA48721021","Sötvatten","Sjöar trendstationer"
"SE698561-139682",,"WA84032761","Sötvatten","Sjöar trendstationer"
"SE728744-162653",,"WA96766414","Sötvatten","Sjöar trendstationer"
"SE660831-154222",,"WA60349805","Sötvatten","Stora sjöarna"
"SE655863-129783",,"WA27767103","Sötvatten","Sjöar trendstationer"
"SE650398-139136",,"WA42884377","Sötvatten","Sjöar trendstationer"
"SE633989-140731",,"WA35245623","Sötvatten","Sjöar trendstationer"
"SE661206-147901",,"WA43691040","Sötvatten","Sjöar trendstationer"
"SE712246-170866",,"WA89985235","Sötvatten","Sjöar trendstationer"
"SE644987-152393",,"WA72743278","Sötvatten","Sjöar trendstationer"
"SE624038-143063",,"WA49933782","Sötvatten","Sjöar trendstationer"
"SE700796-136901",,"WA20212661","Sötvatten","Sjöar trendstationer"
"SE664410-136192",,,"Sötvatten","Sjöar trendstationer"
"SE659105-133982",,"WA62848185","Sötvatten","Sjöar trendstationer"
"SE690617-134197",,"WA93182800","Sötvatten","Sjöar trendstationer"
"SE663532-148571",,"WA61007061","Sötvatten","Sjöar trendstationer"
